Año,Municipio,Area Sembrada,Area Cosechada,Produccion (ton),Rendimiento (ha/ton),Producto
2007,LORICA,1966.0,1986.0,11375.0,5.73,arroz-riego
2008,LORICA,2150.0,1950.0,9778.0,5.01,arroz-riego
2009,LORICA,1860.0,1840.0,10872.0,5.91,arroz-riego
2010,LORICA,900.0,1005.0,5527.5,5.5,arroz-riego
2011,LORICA,982.0,890.0,4984.0,5.6,arroz-riego
2012,LORICA,900.0,955.0,5348.0,5.6,arroz-riego
2013,LORICA,815.0,990.0,5484.0,5.54,arroz-riego
2014,LORICA,541.26,753.01,3749.95,4.98,arroz-riego
2015,LORICA,682.02,545.1,2664.39,4.89,arroz-riego
2016,LORICA,904.26,869.07,4124.98,4.75,arroz-riego
2017,LORICA,800.0,568.27,2195.12,3.86,arroz-riego
2018,LORICA,735.0,735.0,4413.0,6.0,arroz-riego
2019,CHIMA,150.0,145.0,435.0,3.0,arroz-riego
2019,COTORRA,98.2,85.8,214.5,2.5,arroz-riego
2019,LORICA,1570.0,1550.0,7920.0,5.11,arroz-riego
2019,MOMIL,94.0,91.0,182.0,2.0,arroz-riego
2019,PURISIMA,80.0,80.0,160.0,2.0,arroz-riego
2020,CHIMA,170.0,140.0,462.0,3.3,arroz-riego
2020,COTORRA,99.0,70.0,192.5,2.75,arroz-riego
2020,LORICA,1670.0,1645.0,8481.0,5.16,arroz-riego
2020,MOMIL,112.5,107.8,577.87,5.36,arroz-riego
2020,PURISIMA,82.0,82.0,135.3,1.65,arroz-riego
2021,CHIMA,150.0,140.0,533.12,3.81,arroz-riego
2021,COTORRA,89.0,84.0,249.9,2.98,arroz-riego
2021,LORICA,1740.0,1740.0,9389.1,5.4,arroz-riego
2021,MOMIL,11.5,10.2,18.21,1.79,arroz-riego
2021,PURISIMA,22.0,21.5,153.51,7.14,arroz-riego
