Año,Municipio,Area Sembrada,Area Cosechada,Produccion (ton),Rendimiento (ha/ton),Producto
2007,COTORRA,28.0,28.0,240.0,8.57,coco
2009,MOMIL,13.0,0.0,0.0,0.0,coco
2010,MOMIL,7.5,0.0,0.0,0.0,coco
2011,MOMIL,7.0,7.0,70.0,10.0,coco
2012,MOMIL,16.75,12.25,122.5,10.0,coco
2013,MOMIL,13.0,12.0,120.0,10.0,coco
2014,MOMIL,13.0,13.0,130.0,10.0,coco
2015,MOMIL,13.0,13.0,130.0,10.0,coco
2016,MOMIL,4.0,4.0,40.0,10.0,coco
2017,LORICA,40.0,40.0,400.0,10.0,coco
2017,MOMIL,4.0,4.0,60.0,15.0,coco
2018,LORICA,40.0,40.0,400.0,10.0,coco
2018,MOMIL,4.0,4.0,60.0,15.0,coco
2019,COTORRA,10.0,10.0,120.0,12.0,coco
2019,LORICA,42.0,42.0,450.0,10.71,coco
2019,MOMIL,7.0,2.0,12.0,6.0,coco
2020,COTORRA,10.0,10.0,120.0,12.0,coco
2020,LORICA,49.0,42.0,451.08,10.74,coco
2020,MOMIL,7.0,7.0,14.0,2.0,coco
2021,COTORRA,10.0,7.0,70.0,10.0,coco
2021,LORICA,50.0,49.0,490.0,10.0,coco
2021,MOMIL,7.0,7.0,30.1,4.3,coco
