Año,Municipio,Area Sembrada,Area Cosechada,Produccion (ton),Rendimiento (ha/ton),Producto
2007,CHIMA,70.0,81.0,64.8,0.8,frijol
2007,COTORRA,0.0,50.0,100.0,2.0,frijol
2007,LORICA,150.0,138.0,105.0,0.76,frijol
2007,PURISIMA,30.0,23.0,18.0,0.78,frijol
2008,CHIMA,67.0,60.0,48.0,0.8,frijol
2008,LORICA,150.0,120.0,144.0,1.2,frijol
2008,PURISIMA,30.0,30.0,18.0,0.6,frijol
2009,CHIMA,33.0,39.5,31.15,0.79,frijol
2009,LORICA,114.0,140.0,196.0,1.4,frijol
2009,PURISIMA,30.0,30.0,18.0,0.6,frijol
2010,CHIMA,0.0,25.0,20.0,0.8,frijol
2010,LORICA,0.0,106.0,169.6,1.6,frijol
2010,PURISIMA,0.0,30.0,22.0,0.73,frijol
2011,CHIMA,26.0,7.0,7.0,1.0,frijol
2011,LORICA,200.0,0.0,0.0,0.0,frijol
2011,PURISIMA,32.0,20.0,12.0,0.6,frijol
2012,CHIMA,127.85,130.85,119.47,0.91,frijol
2012,LORICA,0.0,200.0,140.0,0.7,frijol
2012,PURISIMA,0.0,12.0,24.0,2.0,frijol
2013,CHIMA,218.5,150.0,135.0,0.9,frijol
2013,LORICA,25.0,0.0,0.0,0.0,frijol
2014,CHIMA,168.0,140.5,126.8,0.9,frijol
2014,LORICA,25.0,24.0,16.8,0.7,frijol
2015,CHIMA,175.0,164.0,181.0,1.1,frijol
2015,COTORRA,70.0,0.0,0.0,0.0,frijol
2015,LORICA,400.0,24.0,24.0,1.0,frijol
2016,CHIMA,500.0,85.0,102.0,1.2,frijol
2016,COTORRA,90.0,70.0,112.0,1.6,frijol
2016,LORICA,300.0,350.0,350.0,1.0,frijol
2017,CHIMA,230.0,500.0,750.0,1.5,frijol
2017,COTORRA,15.0,60.0,78.0,1.3,frijol
2017,LORICA,300.0,300.0,360.0,1.2,frijol
2019,CHIMA,350.0,326.0,260.8,0.8,frijol
2019,COTORRA,250.0,238.0,190.4,0.8,frijol
2019,LORICA,185.0,160.0,160.0,1.0,frijol
2019,MOMIL,2.0,2.0,6.0,3.0,frijol
2020,CHIMA,300.0,294.0,261.7,0.89,frijol
2020,COTORRA,250.0,240.0,192.0,0.8,frijol
2020,LORICA,190.0,170.0,396.0,2.33,frijol
2021,CHIMA,298.0,284.0,205.8,0.72,frijol
2021,COTORRA,250.0,250.0,250.0,1.0,frijol
2021,LORICA,350.0,350.0,350.0,1.0,frijol
