Año,Municipio,Area Sembrada,Area Cosechada,Produccion (ton),Rendimiento (ha/ton),Producto
2007,CHIMA,2070.0,3096.0,17452.0,5.64,maiz-tecnificado
2007,COTORRA,4950.0,2590.0,11600.0,4.48,maiz-tecnificado
2007,LORICA,3002.0,2070.0,8357.0,4.04,maiz-tecnificado
2007,MOMIL,200.0,196.0,620.0,3.16,maiz-tecnificado
2008,CHIMA,950.0,725.0,3416.0,4.71,maiz-tecnificado
2008,COTORRA,4850.0,4673.0,22100.0,4.73,maiz-tecnificado
2008,LORICA,2960.0,2865.0,11555.0,4.03,maiz-tecnificado
2008,MOMIL,300.0,260.0,910.0,3.5,maiz-tecnificado
2009,CHIMA,4670.0,4525.0,25300.0,5.59,maiz-tecnificado
2009,COTORRA,4150.0,4070.0,18804.0,4.62,maiz-tecnificado
2009,LORICA,3225.0,3390.0,15816.0,4.67,maiz-tecnificado
2009,MOMIL,110.0,97.0,369.0,3.8,maiz-tecnificado
2010,CHIMA,4750.0,2900.0,15950.0,5.5,maiz-tecnificado
2010,COTORRA,4150.0,3370.0,15839.0,4.7,maiz-tecnificado
2010,LORICA,3151.0,2675.0,11842.0,4.43,maiz-tecnificado
2011,CHIMA,4150.0,4050.0,18225.0,4.5,maiz-tecnificado
2011,COTORRA,4150.0,3370.0,17524.0,5.2,maiz-tecnificado
2011,LORICA,3770.0,3465.0,19228.0,5.55,maiz-tecnificado
2012,CHIMA,2695.0,2230.0,10035.0,4.5,maiz-tecnificado
2012,COTORRA,3800.0,3202.0,16610.0,5.19,maiz-tecnificado
2012,LORICA,3151.0,2322.0,10216.8,4.4,maiz-tecnificado
2012,MOMIL,105.0,94.5,378.0,4.0,maiz-tecnificado
2013,CHIMA,4100.0,4100.0,22550.0,5.5,maiz-tecnificado
2013,COTORRA,3700.0,3500.0,15750.0,4.5,maiz-tecnificado
2013,LORICA,3460.0,3460.0,17300.0,5.0,maiz-tecnificado
2013,PURISIMA,100.0,100.0,300.0,3.0,maiz-tecnificado
2014,CHIMA,2180.0,1150.0,5865.0,5.1,maiz-tecnificado
2014,COTORRA,7252.0,7252.0,33359.2,4.6,maiz-tecnificado
2014,LORICA,1830.0,1600.0,7040.0,4.4,maiz-tecnificado
2014,PURISIMA,170.0,100.0,393.0,3.93,maiz-tecnificado
2015,CHIMA,800.0,670.0,3350.0,5.0,maiz-tecnificado
2015,COTORRA,2200.0,1800.0,4950.0,2.75,maiz-tecnificado
2015,LORICA,1850.0,1780.0,8010.0,4.5,maiz-tecnificado
2015,PURISIMA,170.0,170.0,425.1,2.5,maiz-tecnificado
2016,CHIMA,2400.0,2400.0,16800.0,7.0,maiz-tecnificado
2016,COTORRA,1800.0,1680.0,7030.0,4.18,maiz-tecnificado
2016,LORICA,2500.0,1910.0,8595.0,4.5,maiz-tecnificado
2016,PURISIMA,120.0,130.0,160.0,1.23,maiz-tecnificado
2017,CHIMA,2300.0,2150.0,11843.22,5.51,maiz-tecnificado
2017,COTORRA,3463.6,2232.6,9523.9,4.27,maiz-tecnificado
2017,LORICA,1700.0,1680.0,7004.75,4.17,maiz-tecnificado
2017,PURISIMA,0.0,60.0,60.0,1.0,maiz-tecnificado
2018,CHIMA,2356.33,2356.33,13484.01,5.72,maiz-tecnificado
2018,COTORRA,500.0,500.0,2118.64,4.24,maiz-tecnificado
2018,LORICA,20.0,20.0,84.75,4.24,maiz-tecnificado
2021,CHIMA,1136.0,992.0,4820.0,4.86,maiz-tecnificado
2021,COTORRA,1811.0,1791.0,7819.5,4.37,maiz-tecnificado
2021,LORICA,1250.0,1250.0,4339.83,3.47,maiz-tecnificado
2021,MOMIL,35.5,28.2,42.3,1.5,maiz-tecnificado
