Año,Municipio,Area Sembrada,Area Cosechada,Produccion (ton),Rendimiento (ha/ton),Producto
2007,CHIMA,397.0,404.0,937.5,2.32,maiz-tradicional
2007,LORICA,762.0,966.6,1444.0,1.49,maiz-tradicional
2007,MOMIL,176.8,200.0,390.0,1.95,maiz-tradicional
2007,PURISIMA,720.0,510.0,773.0,1.52,maiz-tradicional
2008,CHIMA,225.0,265.0,602.5,2.27,maiz-tradicional
2008,LORICA,1150.0,780.0,1650.0,2.12,maiz-tradicional
2008,MOMIL,273.2,276.8,623.6,2.25,maiz-tradicional
2008,PURISIMA,820.0,870.0,1462.0,1.6800000000000002,maiz-tradicional
2009,CHIMA,150.0,178.0,407.5,2.29,maiz-tradicional
2009,COTORRA,100.0,90.0,80.0,0.89,maiz-tradicional
2009,LORICA,875.0,1077.0,2176.0,2.02,maiz-tradicional
2009,MOMIL,185.0,98.2,196.4,2.0,maiz-tradicional
2009,PURISIMA,270.0,420.0,1040.0,2.48,maiz-tradicional
2010,CHIMA,215.0,60.0,105.0,1.75,maiz-tradicional
2010,LORICA,886.0,789.0,1681.0,2.13,maiz-tradicional
2010,MOMIL,232.0,136.0,354.0,2.6,maiz-tradicional
2010,PURISIMA,245.0,260.0,500.0,1.92,maiz-tradicional
2011,CHIMA,120.0,155.0,343.5,2.22,maiz-tradicional
2011,LORICA,930.0,827.0,1806.0,2.18,maiz-tradicional
2011,MOMIL,283.0,261.0,732.0,2.8,maiz-tradicional
2011,PURISIMA,320.0,210.0,435.0,2.07,maiz-tradicional
2012,CHIMA,709.7,311.0,514.4,1.65,maiz-tradicional
2012,LORICA,886.0,799.0,1604.0,2.01,maiz-tradicional
2012,MOMIL,190.03,167.2,341.76,2.04,maiz-tradicional
2012,PURISIMA,245.0,250.0,550.0,2.2,maiz-tradicional
2013,CHIMA,780.0,761.0,1273.2,1.67,maiz-tradicional
2013,LORICA,1046.0,874.0,2076.8,2.38,maiz-tradicional
2013,MOMIL,310.0,210.8,436.72,2.07,maiz-tradicional
2013,PURISIMA,370.0,320.0,640.0,2.0,maiz-tradicional
2014,CHIMA,561.0,438.0,564.4,1.29,maiz-tradicional
2014,LORICA,1818.0,1798.0,4495.0,2.5,maiz-tradicional
2014,MOMIL,143.0,142.8,292.03,2.04,maiz-tradicional
2014,PURISIMA,300.0,320.0,630.35,1.97,maiz-tradicional
2015,CHIMA,320.0,291.0,530.06,1.82,maiz-tradicional
2015,LORICA,1450.0,1390.0,3475.0,2.5,maiz-tradicional
2015,MOMIL,116.5,111.0,154.0,1.39,maiz-tradicional
2015,PURISIMA,300.0,250.0,175.0,0.7,maiz-tradicional
2016,CHIMA,590.0,627.0,1272.4,2.03,maiz-tradicional
2016,LORICA,1620.0,1480.0,3188.9,2.15,maiz-tradicional
2016,MOMIL,380.0,320.5,498.45,1.56,maiz-tradicional
2016,PURISIMA,280.0,230.0,161.0,0.7,maiz-tradicional
2017,CHIMA,1050.0,650.0,1147.03,1.76,maiz-tradicional
2017,LORICA,1400.0,1330.0,1894.0,1.42,maiz-tradicional
2017,MOMIL,167.0,95.0,110.0,1.16,maiz-tradicional
2017,PURISIMA,395.0,315.0,272.5,0.87,maiz-tradicional
2018,CHIMA,700.0,700.0,934.32,1.33,maiz-tradicional
2018,LORICA,2900.0,2580.0,4637.5,1.8,maiz-tradicional
2018,MOMIL,307.0,307.0,753.0,2.45,maiz-tradicional
2018,PURISIMA,441.0,419.0,738.0,1.76,maiz-tradicional
2019,CHIMA,3000.0,2760.0,10920.0,3.96,maiz-tradicional
2019,COTORRA,3213.0,3052.0,14344.4,4.7,maiz-tradicional
2019,LORICA,3910.0,3855.0,11395.76,2.96,maiz-tradicional
2019,MOMIL,245.3,245.3,207.73,0.85,maiz-tradicional
2019,PURISIMA,288.0,288.0,576.0,2.0,maiz-tradicional
2020,CHIMA,3900.0,2805.0,11160.42,3.98,maiz-tradicional
2020,COTORRA,3778.0,3670.0,16065.0,4.38,maiz-tradicional
2020,LORICA,4010.0,3955.0,11659.32,2.95,maiz-tradicional
2020,MOMIL,443.5,409.5,434.63,1.06,maiz-tradicional
2020,PURISIMA,331.0,331.0,662.0,2.0,maiz-tradicional
2021,CHIMA,635.0,525.0,936.5,1.78,maiz-tradicional
2021,LORICA,1475.0,1475.0,3132.12,2.12,maiz-tradicional
2021,MOMIL,322.6,281.05,421.58,1.5,maiz-tradicional
2021,PURISIMA,620.07,517.5,1035.0,2.0,maiz-tradicional
