Año,Municipio,Area Sembrada,Area Cosechada,Produccion (ton),Rendimiento (ha/ton),Producto
2007,COTORRA,8,8,80.0,10.0,mango
2013,LORICA,88,86,1290.0,15.0,mango
2014,LORICA,88,86,1290.0,15.0,mango
2015,LORICA,88,86,1225.5,14.25,mango
2016,LORICA,88,86,1720.0,20.0,mango
2016,MOMIL,30,0,0.0,0.0,mango
2017,LORICA,86,86,3440.0,40.0,mango
2017,MOMIL,30,0,0.0,0.0,mango
2018,LORICA,178,86,3440.0,40.0,mango
2018,MOMIL,30,0,0.0,0.0,mango
2019,LORICA,90,90,3200.0,35.56,mango
2019,MOMIL,30,25,175.0,7.0,mango
2020,LORICA,92,90,3600.0,40.0,mango
2020,MOMIL,35,30,93.0,3.1,mango
2021,LORICA,95,92,1840.0,20.0,mango
2021,MOMIL,35,31,201.5,6.5,mango
