Año,Municipio,Area Sembrada,Area Cosechada,Produccion (ton),Rendimiento (ha/ton),Producto
2007,COTORRA,5,4,62.0,15.5,naranja
2007,PURISIMA,24,24,85.0,3.54,naranja
2008,MOMIL,9,0,0.0,0.0,naranja
2008,PURISIMA,24,24,90.0,3.75,naranja
2009,MOMIL,9,7,59.5,8.5,naranja
2009,PURISIMA,26,24,100.0,4.17,naranja
2010,MOMIL,13,11,9.9,0.9,naranja
2011,MOMIL,9,9,6.3,0.7,naranja
2012,MOMIL,9,9,4.9,0.54,naranja
2013,MOMIL,7,7,35.0,5.0,naranja
2014,MOMIL,7,7,35.0,5.0,naranja
2015,MOMIL,3,3,3.0,1.0,naranja
2016,MOMIL,3,3,24.0,8.0,naranja
2017,MOMIL,3,3,4.5,1.5,naranja
2018,MOMIL,3,3,4.5,1.5,naranja
2019,CHIMA,1,1,10.0,10.0,naranja
2019,MOMIL,3,2,10.0,5.0,naranja
2020,CHIMA,1,1,10.0,10.0,naranja
2020,MOMIL,3,3,13.5,4.5,naranja
2021,CHIMA,1,1,20.0,20.0,naranja
2021,MOMIL,3,3,24.9,8.3,naranja
