Año,Municipio,Area Sembrada,Area Cosechada,Produccion (ton),Rendimiento (ha/ton),Producto
2007,LORICA,156.0,83,320.0,3.86,palma-aceite
2008,LORICA,163.0,105,390.0,3.71,palma-aceite
2009,LORICA,178.2,103,395.0,3.83,palma-aceite
2010,LORICA,168.0,110,440.0,4.0,palma-aceite
2011,LORICA,243.4,120,480.0,4.0,palma-aceite
2011,MOMIL,4.0,0,0.0,0.0,palma-aceite
2012,LORICA,168.0,110,374.0,3.4,palma-aceite
2012,MOMIL,110.0,110,297.0,2.7,palma-aceite
2013,LORICA,350.0,200,684.0,3.42,palma-aceite
2013,MOMIL,125.0,110,300.3,2.73,palma-aceite
2014,LORICA,350.0,200,684.0,3.42,palma-aceite
2014,MOMIL,125.0,115,310.5,2.7,palma-aceite
2015,LORICA,428.0,25,96.5,3.86,palma-aceite
2015,MOMIL,125.0,115,443.9,3.86,palma-aceite
2016,LORICA,600.0,428,1326.8,3.1,palma-aceite
2016,MOMIL,125.0,125,387.5,3.1,palma-aceite
2017,LORICA,600.0,450,1714.5,3.81,palma-aceite
2017,MOMIL,125.0,125,149.88,1.2,palma-aceite
2018,LORICA,750.0,450,1714.5,3.81,palma-aceite
2018,MOMIL,125.0,125,149.88,1.2,palma-aceite
2019,LORICA,660.0,660,3818.5,5.79,palma-aceite
2019,MOMIL,125.0,123,699.36,5.69,palma-aceite
2020,LORICA,768.0,660,2880.24,4.36,palma-aceite
2020,MOMIL,125.0,123,340.94,2.77,palma-aceite
2021,LORICA,900.0,768,3379.2,4.4,palma-aceite
2021,MOMIL,125.0,125,356.25,2.85,palma-aceite
