Año,Municipio,Area Sembrada,Area Cosechada,Produccion (ton),Rendimiento (ha/ton),Producto
2007,CHIMA,475.0,363.0,5445.0,15.0,patilla
2007,LORICA,95.0,64.0,412.0,6.44,patilla
2007,MOMIL,105.0,101.0,2088.0,20.67,patilla
2007,PURISIMA,20.0,145.0,2610.0,18.0,patilla
2008,CHIMA,513.0,479.0,7185.0,15.0,patilla
2008,LORICA,40.0,68.0,348.0,5.12,patilla
2008,MOMIL,141.0,146.0,2190.0,15.0,patilla
2008,PURISIMA,200.0,200.0,3000.0,15.0,patilla
2009,CHIMA,440.0,830.0,12450.0,15.0,patilla
2009,LORICA,16.0,30.0,180.0,6.0,patilla
2009,MOMIL,102.0,103.0,894.0,8.68,patilla
2009,PURISIMA,160.0,10.0,115.0,11.5,patilla
2010,CHIMA,415.0,445.0,4640.0,10.43,patilla
2010,LORICA,0.0,7.0,33.6,4.8,patilla
2010,MOMIL,104.0,65.0,547.0,8.42,patilla
2010,PURISIMA,10.0,158.0,1730.0,10.95,patilla
2011,CHIMA,450.0,100.0,1500.0,15.0,patilla
2011,MOMIL,25.0,25.0,158.0,6.32,patilla
2011,PURISIMA,66.0,5.0,50.0,10.0,patilla
2012,CHIMA,463.25,389.75,5718.88,14.67,patilla
2012,MOMIL,112.0,83.0,904.0,10.89,patilla
2012,PURISIMA,10.0,8.0,80.0,10.0,patilla
2013,CHIMA,489.0,312.0,4368.0,14.0,patilla
2013,LORICA,35.0,0.0,0.0,0.0,patilla
2013,MOMIL,133.5,118.0,1495.0,12.67,patilla
2013,PURISIMA,210.0,200.0,4000.0,20.0,patilla
2014,CHIMA,346.0,141.0,1198.5,8.5,patilla
2014,LORICA,35.0,64.0,1920.0,30.0,patilla
2014,MOMIL,7.5,12.0,73.5,6.13,patilla
2014,PURISIMA,210.0,200.0,4000.0,20.0,patilla
2015,CHIMA,300.0,160.0,1440.0,9.0,patilla
2015,LORICA,35.0,0.0,0.0,0.0,patilla
2015,MOMIL,90.0,0.0,0.0,0.0,patilla
2015,PURISIMA,210.0,200.0,2000.0,10.0,patilla
2016,CHIMA,300.0,280.0,4200.0,15.0,patilla
2016,LORICA,30.0,33.0,990.0,30.0,patilla
2016,MOMIL,106.0,196.0,2489.0,12.7,patilla
2016,PURISIMA,200.0,63.0,630.0,10.0,patilla
2017,CHIMA,320.0,250.0,3375.0,13.5,patilla
2017,LORICA,30.0,30.0,900.0,30.0,patilla
2017,MOMIL,115.0,112.0,1680.0,15.0,patilla
2017,PURISIMA,180.0,80.0,800.0,10.0,patilla
2018,CHIMA,331.88,331.88,4652.65,14.02,patilla
2018,MOMIL,119.3,119.3,1815.02,15.21,patilla
2018,PURISIMA,181.52,181.52,1839.09,10.13,patilla
2019,CHIMA,220.0,200.0,2400.0,12.0,patilla
2019,LORICA,25.0,20.0,280.0,14.0,patilla
2019,MOMIL,96.0,72.0,510.0,7.08,patilla
2019,PURISIMA,37.0,37.0,407.0,11.0,patilla
2021,CHIMA,385.0,360.0,4320.0,12.0,patilla
2021,LORICA,25.0,25.0,350.0,14.0,patilla
2021,MOMIL,175.2,133.5,1602.0,12.0,patilla
2021,PURISIMA,84.0,78.5,785.0,10.0,patilla
