Año,Municipio,Area Sembrada,Area Cosechada,Produccion (ton),Rendimiento (ha/ton),Producto
2007,LORICA,22.0,20.0,300.0,15,piña
2008,LORICA,25.0,25.0,375.0,15,piña
2009,LORICA,44.0,38.0,570.0,15,piña
2010,LORICA,16.0,16.0,240.0,15,piña
2011,LORICA,15.0,14.0,210.0,15,piña
2012,LORICA,16.0,16.0,240.0,15,piña
2012,MOMIL,1.5,1.5,22.5,15,piña
2013,LORICA,20.0,20.0,300.0,15,piña
2013,MOMIL,1.5,0.0,0.0,0,piña
2015,CHIMA,3.0,0.0,0.0,0,piña
2016,CHIMA,5.5,0.0,0.0,0,piña
2017,CHIMA,3.0,3.0,120.0,40,piña
2018,CHIMA,3.0,3.0,150.0,50,piña
