Año,Municipio,Area Sembrada,Area Cosechada,Produccion (ton),Rendimiento (ha/ton),Producto
2007,COTORRA,80.0,70.0,240.0,3.43,platano
2007,LORICA,3450.0,3300.0,17210.0,5.22,platano
2007,MOMIL,51.0,18.0,108.0,6.0,platano
2007,PURISIMA,32.0,30.0,270.0,9.0,platano
2008,COTORRA,60.0,23.0,95.0,4.13,platano
2008,LORICA,2564.0,2500.0,15000.0,6.0,platano
2008,MOMIL,47.0,47.0,235.0,5.0,platano
2008,PURISIMA,39.0,34.0,136.0,4.0,platano
2009,COTORRA,45.0,45.0,450.0,10.0,platano
2009,LORICA,3231.0,2300.0,13800.0,6.0,platano
2009,MOMIL,44.0,44.0,88.0,2.0,platano
2009,PURISIMA,40.0,40.0,120.0,3.0,platano
2010,LORICA,2984.0,2637.0,15822.0,6.0,platano
2010,MOMIL,50.0,42.0,84.0,2.0,platano
2010,PURISIMA,39.0,39.0,156.0,4.0,platano
2011,COTORRA,60.0,60.0,600.0,10.0,platano
2011,LORICA,3064.0,2738.0,21904.0,8.0,platano
2011,MOMIL,45.0,42.0,105.0,2.5,platano
2011,PURISIMA,40.0,30.0,120.0,4.0,platano
2012,CHIMA,26.0,24.0,76.8,3.2,platano
2012,COTORRA,65.0,65.0,780.0,12.0,platano
2012,LORICA,2984.0,2637.0,21096.0,8.0,platano
2012,MOMIL,49.9,45.0,112.5,2.5,platano
2012,PURISIMA,39.0,39.0,156.0,4.0,platano
2013,CHIMA,36.0,29.5,109.15,3.7,platano
2013,COTORRA,65.0,65.0,780.0,12.0,platano
2013,LORICA,2984.0,2500.0,30000.0,12.0,platano
2013,MOMIL,55.0,30.0,90.0,3.0,platano
2013,PURISIMA,39.0,34.0,136.0,4.0,platano
2014,CHIMA,29.0,26.0,91.0,3.5,platano
2014,COTORRA,75.0,75.0,900.0,12.0,platano
2014,LORICA,2984.0,2500.0,30000.0,12.0,platano
2014,MOMIL,55.0,40.0,120.0,3.0,platano
2014,PURISIMA,43.0,43.0,172.0,4.0,platano
2015,CHIMA,29.0,26.0,91.0,3.5,platano
2015,COTORRA,80.0,80.0,960.0,12.0,platano
2015,LORICA,2984.0,2500.0,30000.0,12.0,platano
2015,MOMIL,40.0,15.0,45.0,3.0,platano
2015,PURISIMA,47.0,25.0,62.5,2.5,platano
2016,CHIMA,10.0,10.0,40.0,4.0,platano
2016,COTORRA,80.0,80.0,1440.0,18.0,platano
2016,LORICA,3084.0,2850.0,34200.0,12.0,platano
2016,MOMIL,55.0,50.0,175.0,3.5,platano
2016,PURISIMA,34.0,24.0,60.0,2.5,platano
2017,COTORRA,84.0,80.0,1440.0,18.0,platano
2017,LORICA,3044.0,2844.0,34128.0,12.0,platano
2017,MOMIL,57.0,55.0,198.0,3.6,platano
2017,PURISIMA,41.0,34.0,85.0,2.5,platano
2018,COTORRA,94.0,80.0,1440.0,18.0,platano
2018,LORICA,6028.0,2844.0,34128.0,12.0,platano
2018,MOMIL,57.0,55.0,198.0,3.6,platano
2018,PURISIMA,45.0,38.0,114.0,3.0,platano
2019,CHIMA,16.0,16.0,96.0,6.0,platano
2019,COTORRA,60.0,42.0,504.0,12.0,platano
2019,LORICA,2980.0,2980.0,29800.0,10.0,platano
2019,MOMIL,58.0,54.0,399.0,7.39,platano
2019,PURISIMA,70.0,67.0,187.6,2.8,platano
2020,CHIMA,16.0,16.0,96.0,6.0,platano
2020,COTORRA,61.0,60.0,720.0,12.0,platano
2020,LORICA,3100.0,2980.0,29800.0,10.0,platano
2020,MOMIL,63.0,58.0,185.6,3.2,platano
2020,PURISIMA,75.0,70.0,210.0,3.0,platano
2021,CHIMA,12.0,12.0,20.4,1.7,platano
2021,COTORRA,61.0,61.0,427.0,7.0,platano
2021,LORICA,4366.0,4366.0,52392.0,12.0,platano
2021,MOMIL,67.0,61.0,231.8,3.8,platano
2021,PURISIMA,75.0,75.0,225.0,3.0,platano
