Año,Municipio,Area Sembrada,Area Cosechada,Produccion (ton),Rendimiento (ha/ton),Producto
2007,CHIMA,192.0,190.0,2850.0,15.0,yuca
2007,COTORRA,60.0,59.0,708.0,12.0,yuca
2007,LORICA,950.0,855.0,10260.0,12.0,yuca
2007,MOMIL,307.0,307.0,3950.0,12.87,yuca
2007,PURISIMA,340.0,340.0,4100.0,12.06,yuca
2008,CHIMA,165.0,162.0,2430.0,15.0,yuca
2008,COTORRA,52.0,5.0,60.0,12.0,yuca
2008,LORICA,1200.0,1100.0,13200.0,12.0,yuca
2008,MOMIL,304.0,304.0,2570.0,8.45,yuca
2008,PURISIMA,140.0,140.0,700.0,5.0,yuca
2009,CHIMA,35.0,34.0,510.0,15.0,yuca
2009,COTORRA,50.0,40.0,480.0,12.0,yuca
2009,LORICA,1000.0,1000.0,12000.0,12.0,yuca
2009,MOMIL,269.0,269.0,2429.0,9.03,yuca
2009,PURISIMA,140.0,140.0,700.0,5.0,yuca
2010,CHIMA,130.0,75.0,1125.0,15.0,yuca
2010,COTORRA,50.0,41.0,492.0,12.0,yuca
2010,LORICA,1160.0,1120.0,12320.0,11.0,yuca
2010,MOMIL,142.0,82.0,518.0,6.32,yuca
2010,PURISIMA,160.0,110.0,550.0,5.0,yuca
2011,CHIMA,54.0,54.0,783.0,14.5,yuca
2011,COTORRA,50.0,50.0,600.0,12.0,yuca
2011,LORICA,1180.0,1160.0,17400.0,15.0,yuca
2011,MOMIL,232.0,161.0,966.0,6.0,yuca
2011,PURISIMA,150.0,30.0,150.0,5.0,yuca
2012,CHIMA,155.5,124.4,1741.6,14.0,yuca
2012,COTORRA,55.0,50.0,600.0,12.0,yuca
2012,LORICA,1160.0,1120.0,12320.0,11.0,yuca
2012,MOMIL,354.0,174.0,1090.0,6.26,yuca
2012,PURISIMA,150.0,100.0,500.0,5.0,yuca
2013,CHIMA,172.75,151.5,1893.75,12.5,yuca
2013,COTORRA,55.0,50.0,600.0,12.0,yuca
2013,LORICA,1160.0,1100.0,13200.0,12.0,yuca
2013,MOMIL,565.0,480.25,3121.63,6.5,yuca
2013,PURISIMA,370.0,360.0,3230.0,8.97,yuca
2014,CHIMA,125.0,85.0,1190.0,14.0,yuca
2014,COTORRA,59.0,54.0,648.0,12.0,yuca
2014,LORICA,1050.0,1000.0,12000.0,12.0,yuca
2014,MOMIL,565.0,480.25,3121.63,6.5,yuca
2014,PURISIMA,320.0,310.0,1860.0,6.0,yuca
2015,CHIMA,65.0,40.0,480.0,12.0,yuca
2015,COTORRA,80.0,80.0,1120.0,14.0,yuca
2015,LORICA,1200.0,1100.0,13200.0,12.0,yuca
2015,MOMIL,150.5,150.5,1316.88,8.75,yuca
2015,PURISIMA,320.0,300.0,1800.0,6.0,yuca
2016,CHIMA,92.0,55.0,660.0,12.0,yuca
2016,COTORRA,80.0,70.0,840.0,12.0,yuca
2016,LORICA,1500.0,1450.0,17400.0,12.0,yuca
2016,MOMIL,240.0,240.0,3600.0,15.0,yuca
2016,PURISIMA,185.0,185.0,1770.0,9.57,yuca
2017,CHIMA,45.0,25.0,287.5,11.5,yuca
2017,COTORRA,51.0,51.0,612.0,12.0,yuca
2017,LORICA,700.0,690.0,10350.0,15.0,yuca
2017,MOMIL,80.0,80.0,890.0,11.13,yuca
2017,PURISIMA,195.0,195.0,1850.0,9.49,yuca
2018,CHIMA,80.0,80.0,920.0,11.5,yuca
2018,COTORRA,40.0,40.0,480.0,12.0,yuca
2018,LORICA,900.0,900.0,13500.0,15.0,yuca
2018,MOMIL,130.0,130.0,1460.0,11.23,yuca
2018,PURISIMA,203.0,203.0,1918.0,9.45,yuca
2019,CHIMA,85.0,77.0,462.0,6.0,yuca
2019,COTORRA,50.0,47.5,665.0,14.0,yuca
2019,LORICA,820.0,790.0,13430.0,17.0,yuca
2019,MOMIL,362.8,362.8,4353.6,12.0,yuca
2019,PURISIMA,218.0,218.0,2180.0,10.0,yuca
2020,CHIMA,100.0,30.0,186.0,6.2,yuca
2020,COTORRA,60.0,55.0,660.0,12.0,yuca
2020,LORICA,800.0,780.0,13260.0,17.0,yuca
2020,MOMIL,429.0,391.0,4692.0,12.0,yuca
2020,PURISIMA,392.0,392.0,3920.0,10.0,yuca
2021,CHIMA,95.0,90.0,540.0,6.0,yuca
2021,COTORRA,60.0,60.0,720.0,12.0,yuca
2021,LORICA,1000.0,1000.0,10000.0,10.0,yuca
2021,MOMIL,342.0,337.0,4381.0,13.0,yuca
2021,PURISIMA,225.0,220.0,2347.5,10.67,yuca
