Año,Municipio,Area Sembrada,Area Cosechada,Produccion (ton),Rendimiento (ha/ton),Producto
2007,CHIMA,23.0,20.0,360.0,18.0,ñame
2007,LORICA,800.0,590.0,4425.0,7.5,ñame
2007,MOMIL,90.0,41.0,492.0,12.0,ñame
2007,PURISIMA,290.0,290.0,2987.0,10.3,ñame
2008,CHIMA,18.0,16.0,288.0,18.0,ñame
2008,LORICA,850.0,800.0,6400.0,8.0,ñame
2008,MOMIL,89.0,89.0,712.0,8.0,ñame
2008,PURISIMA,105.0,105.0,604.0,5.75,ñame
2009,CHIMA,15.0,11.5,138.0,12.0,ñame
2009,LORICA,800.0,800.0,6400.0,8.0,ñame
2009,MOMIL,54.0,54.0,421.0,7.8,ñame
2009,PURISIMA,150.0,105.0,640.0,6.1,ñame
2010,CHIMA,10.0,8.5,102.0,12.0,ñame
2010,LORICA,900.0,880.0,7040.0,8.0,ñame
2010,MOMIL,39.0,0.0,0.0,0.0,ñame
2010,PURISIMA,128.0,100.0,536.0,5.36,ñame
2011,CHIMA,3.0,3.0,48.0,16.0,ñame
2011,LORICA,1100.0,980.0,9800.0,10.0,ñame
2011,MOMIL,113.0,106.0,636.0,6.0,ñame
2011,PURISIMA,150.0,30.0,180.0,6.0,ñame
2012,CHIMA,28.2,24.2,266.2,11.0,ñame
2012,LORICA,900.0,880.0,8800.0,10.0,ñame
2012,MOMIL,69.25,69.25,498.82,7.2,ñame
2012,PURISIMA,128.0,100.0,616.0,6.16,ñame
2013,CHIMA,25.5,22.0,242.0,11.0,ñame
2013,LORICA,900.0,850.0,12750.0,15.0,ñame
2013,MOMIL,85.0,85.0,680.0,8.0,ñame
2013,PURISIMA,90.0,90.0,900.0,10.0,ñame
2014,CHIMA,13.0,13.0,143.0,11.0,ñame
2014,LORICA,900.0,850.0,12750.0,15.0,ñame
2014,MOMIL,85.0,85.0,680.0,8.0,ñame
2014,PURISIMA,90.0,90.0,1080.0,12.0,ñame
2015,CHIMA,30.0,8.0,52.0,6.5,ñame
2015,LORICA,900.0,850.0,10625.0,12.5,ñame
2015,MOMIL,30.0,30.0,150.0,5.0,ñame
2015,PURISIMA,90.0,70.0,560.0,8.0,ñame
2016,CHIMA,15.0,15.0,120.0,8.0,ñame
2016,LORICA,1200.0,900.0,22500.0,25.0,ñame
2016,MOMIL,45.0,45.0,360.0,8.0,ñame
2016,PURISIMA,184.0,174.0,1566.0,9.0,ñame
2017,CHIMA,7.0,7.0,56.0,8.0,ñame
2017,LORICA,500.0,495.0,8910.0,18.0,ñame
2017,MOMIL,12.0,12.0,106.0,8.83,ñame
2017,PURISIMA,190.0,180.0,1620.0,9.0,ñame
2018,CHIMA,20.0,20.0,160.0,8.0,ñame
2018,LORICA,700.0,700.0,12600.0,18.0,ñame
2018,MOMIL,45.0,45.0,400.0,8.89,ñame
2018,PURISIMA,200.0,200.0,1800.0,9.0,ñame
2019,CHIMA,20.0,15.0,15.0,1.0,ñame
2019,LORICA,580.0,580.0,11600.0,20.0,ñame
2019,MOMIL,107.9,107.9,1079.0,10.0,ñame
2019,PURISIMA,177.0,177.0,1770.0,10.0,ñame
2020,CHIMA,22.0,21.0,21.0,1.0,ñame
2020,LORICA,600.0,600.0,12000.0,20.0,ñame
2020,MOMIL,113.7,88.5,973.5,11.0,ñame
2020,PURISIMA,177.0,177.0,1770.0,10.0,ñame
2021,CHIMA,20.0,19.0,83.6,4.4,ñame
2021,LORICA,800.0,800.0,14400.0,18.0,ñame
2021,MOMIL,100.9,99.3,1290.9,13.0,ñame
2021,PURISIMA,195.0,193.0,2316.0,12.0,ñame
